url,path,statusCode,title,h1,canonicalUrl,breadcrumbText,collectionSignals
https://coldcactus.ca/collections/bracelets,/collections/bracelets,200,Bracelets & Watch Bands &ndash; Cold Cactus Inc.,Bracelets & Watch Bands,https://coldcactus.ca/collections/bracelets,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
https://coldcactus.ca/collections/christmas-gift-ideas,/collections/christmas-gift-ideas,200,Christmas Gift Ideas &ndash; Cold Cactus Inc.,Christmas Gift Ideas,https://coldcactus.ca/collections/christmas-gift-ideas,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
https://coldcactus.ca/collections/cinch,/collections/cinch,200,CINCH &ndash; Cold Cactus Inc.,CINCH,https://coldcactus.ca/collections/cinch,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
https://coldcactus.ca/collections/cold-cactus-exclusives,/collections/cold-cactus-exclusives,200,Cold Cactus Exclusives &ndash; Cold Cactus Inc.,Cold Cactus Exclusives,https://coldcactus.ca/collections/cold-cactus-exclusives,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
https://coldcactus.ca/collections/cowboy-hats,/collections/cowboy-hats,200,Cowboy Hats &ndash; Cold Cactus Inc.,Cowboy Hats,https://coldcactus.ca/collections/cowboy-hats,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
https://coldcactus.ca/collections/cowhide-christmas,/collections/cowhide-christmas,200,Make it a *Cowboy Christmas* &ndash; Cold Cactus Inc.,Make it a *Cowboy Christmas*,https://coldcactus.ca/collections/cowhide-christmas,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
https://coldcactus.ca/collections/denim,/collections/denim,200,Denim &ndash; Cold Cactus Inc.,Denim,https://coldcactus.ca/collections/denim,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
https://coldcactus.ca/collections/denim-mens-apparel,/collections/denim-mens-apparel,200,Men's Denim &ndash; Cold Cactus Inc.,Men's Denim,https://coldcactus.ca/collections/denim-mens-apparel,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
https://coldcactus.ca/collections/dresses,/collections/dresses,200,Dresses &ndash; Cold Cactus Inc.,Dresses,https://coldcactus.ca/collections/dresses,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
https://coldcactus.ca/collections/earrings,/collections/earrings,200,Earrings &ndash; Cold Cactus Inc.,Earrings,https://coldcactus.ca/collections/earrings,"{ ""@context"": ""http://schema.org"", ""@type"": ""Organization"", ""name"": ""Cold Cactus Inc."", ""logo"": ""https:\/\/coldcactus.ca\/cdn\/shop\/files\/cclogoupdated_400x.webp?v=1716305005"", ""sameAs"": [ """", ""https:\/\/www.facebook.com\/coldcactusboutique\/"", ""https:\/\/www.pinterest.ca\/coldcactus\/"", ""https:\/\/www.instagram.com\/coldcactusboutique\/"", """", """", """", """" ], ""url"": ""https:\/\/coldcactus.ca"" }",collection-like path; collection-like page text
